,open_ts_time,open_tf_time,wind_ts_p,wind_tf_p,close_ts_time,close_tf_time,unwind_ts_p,unwind_tf_p,diff_ts,diff_tf,sum
54,2022-10-11 11:04:00,2022-10-11 11:04:00,101.17,-101.625,2022-10-11 11:12:01,2022-10-11 11:12:00,-101.18,101.62,0.010000000000005116,0.0049999999999954525,0.015000000000000568
55,2022-10-11 11:05:00,2022-10-11 11:05:03,101.17,-101.625,2022-10-11 11:12:01,2022-10-11 11:12:00,-101.18,101.62,0.010000000000005116,0.0049999999999954525,0.015000000000000568
56,2022-10-11 11:06:01,2022-10-11 11:06:00,101.17,-101.62,2022-10-11 11:12:01,2022-10-11 11:12:00,-101.18,101.62,0.010000000000005116,0.0,0.010000000000005116
57,2022-10-11 11:07:00,2022-10-11 11:07:00,101.17,-101.625,2022-10-11 11:12:01,2022-10-11 11:12:00,-101.18,101.62,0.010000000000005116,0.0049999999999954525,0.015000000000000568
58,2022-10-11 11:16:00,2022-10-11 11:16:00,-101.175,101.61,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.01999999999999602,-0.015000000000000568,0.0049999999999954525
59,2022-10-11 11:17:00,2022-10-11 11:17:00,-101.17,101.605,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.015000000000000568,-0.010000000000005116,0.0049999999999954525
60,2022-10-11 11:18:01,2022-10-11 11:18:01,-101.17,101.61,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.015000000000000568,-0.015000000000000568,0.0
61,2022-10-11 11:19:01,2022-10-11 11:19:00,-101.17,101.605,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.015000000000000568,-0.010000000000005116,0.0049999999999954525
62,2022-10-11 11:20:00,2022-10-11 11:20:00,-101.175,101.61,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.01999999999999602,-0.015000000000000568,0.0049999999999954525
63,2022-10-11 11:21:01,2022-10-11 11:21:00,-101.17,101.605,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.015000000000000568,-0.010000000000005116,0.0049999999999954525
64,2022-10-11 11:22:03,2022-10-11 11:22:00,-101.165,101.595,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.010000000000005116,0.0,0.010000000000005116
65,2022-10-11 11:23:00,2022-10-11 11:23:00,-101.165,101.595,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.010000000000005116,0.0,0.010000000000005116
66,2022-10-11 11:24:04,2022-10-11 11:24:01,-101.165,101.6,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.010000000000005116,-0.0049999999999954525,0.005000000000009663
67,2022-10-11 11:25:00,2022-10-11 11:25:01,-101.165,101.59,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.010000000000005116,0.0049999999999954525,0.015000000000000568
68,2022-10-11 11:26:00,2022-10-11 11:26:01,-101.165,101.595,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.010000000000005116,0.0,0.010000000000005116
69,2022-10-11 11:27:04,2022-10-11 11:27:00,-101.165,101.595,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.010000000000005116,0.0,0.010000000000005116
70,2022-10-11 11:28:00,2022-10-11 11:28:01,-101.165,101.6,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.010000000000005116,-0.0049999999999954525,0.005000000000009663
71,2022-10-11 13:00:02,2022-10-11 13:00:00,-101.165,101.59,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.010000000000005116,0.0049999999999954525,0.015000000000000568
72,2022-10-11 13:04:00,2022-10-11 13:04:00,-101.165,101.59,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.010000000000005116,0.0049999999999954525,0.015000000000000568
73,2022-10-11 13:05:02,2022-10-11 13:05:00,-101.16,101.58,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.0049999999999954525,0.015000000000000568,0.01999999999999602
74,2022-10-11 13:06:00,2022-10-11 13:06:00,-101.165,101.59,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.010000000000005116,0.0049999999999954525,0.015000000000000568
75,2022-10-11 13:12:01,2022-10-11 13:12:00,-101.155,101.57,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.0,0.025000000000005684,0.025000000000005684
76,2022-10-11 13:13:12,2022-10-11 13:13:00,-101.155,101.57,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.0,0.025000000000005684,0.025000000000005684
77,2022-10-11 13:14:11,2022-10-11 13:14:04,-101.155,101.575,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.0,0.01999999999999602,0.01999999999999602
78,2022-10-11 13:15:01,2022-10-11 13:15:00,-101.155,101.575,2022-10-11 13:30:00,2022-10-11 13:30:00,101.155,-101.595,0.0,0.01999999999999602,0.01999999999999602
79,2022-10-11 13:18:01,2022-10-11 13:18:03,101.155,-101.585,2022-10-11 13:30:00,2022-10-11 13:30:00,-101.16,101.59,0.0049999999999954525,-0.005000000000009663,-1.4210854715202004e-14
80,2022-10-11 13:19:02,2022-10-11 13:19:00,101.15,-101.585,2022-10-11 13:30:00,2022-10-11 13:30:00,-101.16,101.59,0.009999999999990905,-0.005000000000009663,0.004999999999981242
81,2022-10-11 13:20:00,2022-10-11 13:20:00,101.155,-101.59,2022-10-11 13:30:00,2022-10-11 13:30:00,-101.16,101.59,0.0049999999999954525,0.0,0.0049999999999954525
82,2022-10-11 13:21:07,2022-10-11 13:21:00,101.15,-101.585,2022-10-11 13:30:00,2022-10-11 13:30:00,-101.16,101.59,0.009999999999990905,-0.005000000000009663,0.004999999999981242
83,2022-10-11 13:37:13,2022-10-11 13:37:04,101.155,-101.595,2022-10-11 14:42:02,2022-10-11 14:42:02,-101.15,101.57,-0.0049999999999954525,0.025000000000005684,0.020000000000010232
84,2022-10-11 13:38:00,2022-10-11 13:38:06,101.155,-101.6,2022-10-11 14:42:02,2022-10-11 14:42:02,-101.15,101.57,-0.0049999999999954525,0.030000000000001137,0.025000000000005684
85,2022-10-11 13:39:02,2022-10-11 13:39:07,101.155,-101.6,2022-10-11 14:42:02,2022-10-11 14:42:02,-101.15,101.57,-0.0049999999999954525,0.030000000000001137,0.025000000000005684
86,2022-10-11 13:41:00,2022-10-11 13:41:01,101.155,-101.595,2022-10-11 14:42:02,2022-10-11 14:42:02,-101.15,101.57,-0.0049999999999954525,0.025000000000005684,0.020000000000010232
