,open_tf_time,open_t_time,wind_tf_p,wind_t_p,close_tf_time,close_t_time,unwind_tf_p,unwind_t_p,diff_tf,diff_t,sum
40,2022-10-10 10:40:02,2022-10-10 10:40:00,101.6,-100.83,2022-10-10 10:50:11,2022-10-10 10:50:00,-101.595,100.81,-0.0049999999999954525,0.01999999999999602,0.015000000000000568
41,2022-10-10 10:41:00,2022-10-10 10:41:00,101.595,-100.82,2022-10-10 10:50:11,2022-10-10 10:50:00,-101.595,100.81,0.0,0.009999999999990905,0.009999999999990905
42,2022-10-10 10:44:00,2022-10-10 10:44:00,-101.6,100.82,2022-10-10 10:50:11,2022-10-10 10:50:00,101.59,-100.815,0.009999999999990905,-0.0049999999999954525,0.0049999999999954525
43,2022-10-10 10:45:01,2022-10-10 10:45:01,-101.6,100.82,2022-10-10 10:50:11,2022-10-10 10:50:00,101.59,-100.815,0.009999999999990905,-0.0049999999999954525,0.0049999999999954525
44,2022-10-10 10:55:00,2022-10-10 10:55:01,101.605,-100.84,2022-10-10 11:07:07,2022-10-10 11:07:00,-101.61,100.84,0.0049999999999954525,0.0,0.0049999999999954525
45,2022-10-10 10:56:00,2022-10-10 10:56:01,101.6,-100.835,2022-10-10 11:07:07,2022-10-10 11:07:00,-101.61,100.84,0.010000000000005116,-0.005000000000009663,0.0049999999999954525
46,2022-10-10 10:57:02,2022-10-10 10:57:00,101.605,-100.835,2022-10-10 11:07:07,2022-10-10 11:07:00,-101.61,100.84,0.0049999999999954525,-0.005000000000009663,-1.4210854715202004e-14
47,2022-10-10 10:58:04,2022-10-10 10:58:02,101.605,-100.84,2022-10-10 11:07:07,2022-10-10 11:07:00,-101.61,100.84,0.0049999999999954525,0.0,0.0049999999999954525
48,2022-10-10 11:02:01,2022-10-10 11:02:00,101.605,-100.84,2022-10-10 11:07:07,2022-10-10 11:07:00,-101.61,100.84,0.0049999999999954525,0.0,0.0049999999999954525
49,2022-10-10 11:03:01,2022-10-10 11:03:01,101.605,-100.84,2022-10-10 11:07:07,2022-10-10 11:07:00,-101.61,100.84,0.0049999999999954525,0.0,0.0049999999999954525
50,2022-10-10 11:04:05,2022-10-10 11:04:00,101.605,-100.845,2022-10-10 11:07:07,2022-10-10 11:07:00,-101.61,100.84,0.0049999999999954525,0.0049999999999954525,0.009999999999990905
51,2022-10-10 11:13:01,2022-10-10 11:13:02,-101.6,100.825,2022-10-10 11:16:00,2022-10-10 11:16:01,101.605,-100.84,-0.005000000000009663,0.015000000000000568,0.009999999999990905
52,2022-10-10 11:14:00,2022-10-10 11:14:00,-101.605,100.835,2022-10-10 11:16:00,2022-10-10 11:16:01,101.605,-100.84,0.0,0.005000000000009663,0.005000000000009663
53,2022-10-10 11:17:04,2022-10-10 11:17:05,101.595,-100.83,2022-10-10 11:19:00,2022-10-10 11:19:04,-101.595,100.815,0.0,0.015000000000000568,0.015000000000000568
54,2022-10-10 11:22:02,2022-10-10 11:22:00,-101.595,100.82,2022-10-10 11:24:01,2022-10-10 11:24:01,101.59,-100.835,0.0049999999999954525,0.015000000000000568,0.01999999999999602
55,2022-10-10 11:26:09,2022-10-10 11:26:02,101.585,-100.825,2022-10-10 13:03:03,2022-10-10 13:03:00,-101.59,100.815,0.005000000000009663,0.010000000000005116,0.01500000000001478
56,2022-10-10 11:27:03,2022-10-10 11:27:06,101.585,-100.825,2022-10-10 13:03:03,2022-10-10 13:03:00,-101.59,100.815,0.005000000000009663,0.010000000000005116,0.01500000000001478
57,2022-10-10 11:28:05,2022-10-10 11:28:04,101.59,-100.83,2022-10-10 13:03:03,2022-10-10 13:03:00,-101.59,100.815,0.0,0.015000000000000568,0.015000000000000568
