,time,last,ask,bid,volume,amt,ask1,bid1,asize1,bsize1,ts_date,ts_lag
6808,2022-10-14 11:16:02.600,101.225,101.23,101.225,30732,31101991850,,,26,39,2022-10-14 11:16:02.600,3
6809,2022-10-14 11:16:03.100,101.225,101.23,101.225,30732,31101991850,,,27,39,2022-10-14 11:16:03.100,0
6810,2022-10-14 11:16:03.600,101.225,101.23,101.225,30733,31103004100,,,28,38,2022-10-14 11:16:03.600,0
6811,2022-10-14 11:16:04.100,101.225,101.23,101.225,30734,31104016350,,,28,37,2022-10-14 11:16:04.100,0
6812,2022-10-14 11:16:04.600,101.225,101.23,101.225,30734,31104016350,,,35,38,2022-10-14 11:16:04.600,0
6813,2022-10-14 11:16:05.100,101.225,101.23,101.225,30734,31104016350,,,42,38,2022-10-14 11:16:05.100,0
6814,2022-10-14 11:16:05.600,101.225,101.23,101.225,30734,31104016350,,,43,38,2022-10-14 11:16:05.600,0
6815,2022-10-14 11:16:08.100,101.225,101.23,101.225,30741,31111102100,,,43,32,2022-10-14 11:16:08.100,2
6816,2022-10-14 11:16:08.600,101.225,101.23,101.225,30741,31111102100,,,44,24,2022-10-14 11:16:08.600,0
6817,2022-10-14 11:16:09.100,101.225,101.23,101.225,30741,31111102100,,,44,15,2022-10-14 11:16:09.100,0
6818,2022-10-14 11:16:09.600,101.225,101.225,101.22,30756,31126285850,,,1,161,2022-10-14 11:16:09.600,0
6819,2022-10-14 11:16:10.100,101.225,101.23,101.225,30771,31141469600,,,92,7,2022-10-14 11:16:10.100,0
6820,2022-10-14 11:16:10.600,101.225,101.23,101.225,30771,31141469600,,,43,10,2022-10-14 11:16:10.600,0
6821,2022-10-14 11:16:11.100,101.225,101.23,101.225,30771,31141469600,,,43,14,2022-10-14 11:16:11.100,0
6822,2022-10-14 11:16:11.600,101.225,101.23,101.225,30771,31141469600,,,43,11,2022-10-14 11:16:11.600,0
6823,2022-10-14 11:16:12.100,101.225,101.23,101.225,30771,31141469600,,,42,11,2022-10-14 11:16:12.100,0
6824,2022-10-14 11:16:15.100,101.225,101.23,101.225,30771,31141469600,,,43,12,2022-10-14 11:16:15.100,3
6825,2022-10-14 11:16:16.600,101.225,101.23,101.225,30772,31142481850,,,43,11,2022-10-14 11:16:16.600,1
6826,2022-10-14 11:16:19.100,101.225,101.23,101.225,30772,31142481850,,,43,12,2022-10-14 11:16:19.100,2
6827,2022-10-14 11:16:21.100,101.225,101.225,101.22,30784,31154628850,,,39,161,2022-10-14 11:16:21.100,2
6828,2022-10-14 11:16:21.600,101.225,101.225,101.22,30784,31154628850,,,43,80,2022-10-14 11:16:21.600,0
6829,2022-10-14 11:16:22.100,101.225,101.225,101.22,30784,31154628850,,,45,70,2022-10-14 11:16:22.100,0
6830,2022-10-14 11:16:22.600,101.225,101.225,101.22,30784,31154628850,,,42,69,2022-10-14 11:16:22.600,0
6831,2022-10-14 11:16:23.100,101.225,101.225,101.22,30784,31154628850,,,43,60,2022-10-14 11:16:23.100,0
6832,2022-10-14 11:16:24.600,101.22,101.225,101.22,30804,31174872850,,,44,40,2022-10-14 11:16:24.600,1
6833,2022-10-14 11:16:25.100,101.22,101.225,101.22,30805,31175885050,,,46,38,2022-10-14 11:16:25.100,0
6834,2022-10-14 11:16:25.600,101.22,101.225,101.22,30805,31175885050,,,49,40,2022-10-14 11:16:25.600,0
6835,2022-10-14 11:16:26.100,101.22,101.225,101.22,30805,31175885050,,,49,41,2022-10-14 11:16:26.100,0
6836,2022-10-14 11:16:30.600,101.22,101.225,101.22,30806,31176897250,,,49,40,2022-10-14 11:16:30.600,4
6837,2022-10-14 11:16:32.600,101.225,101.225,101.22,30807,31177909500,,,48,40,2022-10-14 11:16:32.600,2
6838,2022-10-14 11:16:33.600,101.225,101.225,101.22,30807,31177909500,,,48,41,2022-10-14 11:16:33.600,1
6839,2022-10-14 11:16:34.600,101.225,101.225,101.22,30807,31177909500,,,48,42,2022-10-14 11:16:34.600,1
6840,2022-10-14 11:16:37.600,101.225,101.225,101.22,30807,31177909500,,,48,43,2022-10-14 11:16:37.600,3
6841,2022-10-14 11:16:38.100,101.225,101.225,101.22,30807,31177909500,,,48,44,2022-10-14 11:16:38.100,0
6842,2022-10-14 11:16:41.100,101.225,101.225,101.22,30807,31177909500,,,50,44,2022-10-14 11:16:41.100,3
6843,2022-10-14 11:16:52.600,101.225,101.225,101.22,30808,31178921750,,,49,44,2022-10-14 11:16:52.600,11
6844,2022-10-14 11:16:53.100,101.22,101.225,101.22,30809,31179933950,,,49,43,2022-10-14 11:16:53.100,0
6845,2022-10-14 11:16:55.100,101.22,101.225,101.22,30809,31179933950,,,49,44,2022-10-14 11:16:55.100,2
6846,2022-10-14 11:17:03.600,101.22,101.225,101.22,30809,31179933950,,,49,45,2022-10-14 11:17:03.600,8
6847,2022-10-14 11:17:04.100,101.22,101.225,101.22,30812,31182970550,,,49,42,2022-10-14 11:17:04.100,0
6848,2022-10-14 11:17:08.600,101.225,101.225,101.22,30816,31187019400,,,48,39,2022-10-14 11:17:08.600,4
6849,2022-10-14 11:17:09.600,101.225,101.225,101.22,30816,31187019400,,,48,40,2022-10-14 11:17:09.600,1
6850,2022-10-14 11:17:11.100,101.225,101.225,101.22,30816,31187019400,,,48,49,2022-10-14 11:17:11.100,1
6851,2022-10-14 11:17:11.600,101.225,101.225,101.22,30817,31188031650,,,45,49,2022-10-14 11:17:11.600,0
6852,2022-10-14 11:17:12.100,101.225,101.23,101.225,30862,31233582900,,,171,10,2022-10-14 11:17:12.100,0
6853,2022-10-14 11:17:12.600,101.225,101.23,101.225,30862,31233582900,,,98,25,2022-10-14 11:17:12.600,0
6854,2022-10-14 11:17:13.100,101.225,101.23,101.225,30862,31233582900,,,87,26,2022-10-14 11:17:13.100,0
6855,2022-10-14 11:17:13.600,101.225,101.23,101.225,30862,31233582900,,,87,23,2022-10-14 11:17:13.600,0
6856,2022-10-14 11:17:14.100,101.225,101.23,101.225,30862,31233582900,,,87,14,2022-10-14 11:17:14.100,0
6857,2022-10-14 11:17:14.600,101.225,101.23,101.225,30862,31233582900,,,87,8,2022-10-14 11:17:14.600,0
6858,2022-10-14 11:17:15.100,101.225,101.23,101.225,30862,31233582900,,,88,8,2022-10-14 11:17:15.100,0
6859,2022-10-14 11:17:15.600,101.225,101.23,101.225,30862,31233582900,,,88,7,2022-10-14 11:17:15.600,0
6860,2022-10-14 11:17:17.600,101.225,101.23,101.225,30862,31233582900,,,88,8,2022-10-14 11:17:17.600,2
6861,2022-10-14 11:17:18.100,101.225,101.23,101.225,30862,31233582900,,,88,7,2022-10-14 11:17:18.100,0
6862,2022-10-14 11:17:19.100,101.225,101.23,101.225,30862,31233582900,,,88,9,2022-10-14 11:17:19.100,1
6863,2022-10-14 11:17:20.100,101.225,101.23,101.225,30862,31233582900,,,88,7,2022-10-14 11:17:20.100,1
6864,2022-10-14 11:17:20.600,101.225,101.23,101.225,30862,31233582900,,,88,8,2022-10-14 11:17:20.600,0
6865,2022-10-14 11:17:21.100,101.225,101.23,101.225,30862,31233582900,,,88,10,2022-10-14 11:17:21.100,0
6866,2022-10-14 11:17:21.600,101.225,101.23,101.225,30862,31233582900,,,98,10,2022-10-14 11:17:21.600,0
6867,2022-10-14 11:17:22.100,101.225,101.23,101.225,30862,31233582900,,,98,8,2022-10-14 11:17:22.100,0
6868,2022-10-14 11:17:22.600,101.225,101.23,101.225,30862,31233582900,,,98,10,2022-10-14 11:17:22.600,0
6869,2022-10-14 11:17:25.100,101.225,101.23,101.225,30862,31233582900,,,98,19,2022-10-14 11:17:25.100,2
6870,2022-10-14 11:17:25.600,101.225,101.23,101.225,30862,31233582900,,,98,31,2022-10-14 11:17:25.600,0
